id,area,journey,steps,acceptance,alternate_or_failure_states,verification,priority,release_0_1_7_evidence
J01,Startup,First launch without configured provider,Launch > Quick setup > provider setup,Explain missing setup and retain the intended first message,Missing credential; offline; setup cancelled,Source + feature-setup fixture; clean-account live pending,P2,Baseline evidence retained; full renderer suite passed; no additional live check for this journey
J02,Startup,Returning launch,Launch > restore active conversation,Restore conversation and settings; normalize interrupted work honestly,Corrupt state; missing directory; interrupted previous run,Source; restart live pending,P2,Baseline evidence retained; full renderer suite passed; no additional live check for this journey
J03,Startup,Startup failure recovery,Launch failure > Retry,Actionable error and retry without replacing user data,Unreadable state; IPC unavailable,Source only,P2,Baseline evidence retained; full renderer suite passed; no additional live check for this journey
J04,Sessions,New session,New session > composer,One new session; correct defaults; immediate focus and pending feedback,Repeated click; save failure; active run elsewhere,Installed UI exercised,P2,"New-session, conversation-drafts, draft-preview Electron interactions; cursor and attachment retention"
J05,Sessions,Switch conversation,Session row > another row > return,"Keep drafts, cursor, scroll and selected context per conversation",Active run; unsent images; long histories,"Live: draft loss reproduced, F05",P1,"New-session, conversation-drafts, draft-preview Electron interactions; cursor and attachment retention"
J06,Sessions,Find conversation,Search > matching row > clear search,"Useful matching, named clear button, useful no-results state",Whitespace; long titles; many sessions,Source; search behavior pending,P2,Search no-results and clear action implemented; source review
J07,Sessions,Rename and purpose,Session settings > title/purpose > Save,Saved feedback; preserve unsaved edits if save fails,Blank name; long purpose; switch while editing,Source + settings fixture,P2,"Settings-unsaved, agent editor/select/library fixtures; role lifecycle and limits tests; no installed-library mutation"
J08,Sessions,Delete conversation,Delete > inspect confirmation > Cancel or Confirm,Correct conversation named; deterministic next selection,Only conversation; associated routines/evidence; disk error,Delete fixtures pass; real user deletion not performed,P2,"Delete dialog, cancel, completion, active-row and focus fixtures"
J09,Sessions,Delete active conversation,Delete while running,Explain stop requirement without appearing broken,Stop in progress; run ends while dialog opens,Source + fixture coverage,P2,"Delete dialog, cancel, completion, active-row and focus fixtures"
J10,Sessions,Resize sidebar,Drag or keyboard resize > reset,No text overlap; cursor remains stable; width persists,Minimum window; pointer cancel; keyboard Home,Source + responsive fixtures; timing pending,P2,Full Electron picker and compact-layout cases; model-keyboard and access Escape interactions
J11,Sessions,Unread/background run,Start run > view another conversation > return,Unread indicators match new content and clear on view,Multiple runs; failures; disabled notifications,Source; live pending,P2,Baseline evidence retained; full renderer suite passed; no additional live check for this journey
J12,Composer,Text-only question,Type > Send or Enter,Immediate acceptance; no irrelevant setup or computer panel,Empty text; failed send; repeated Enter,Installed conversations exercised; Watch mismatch F08,P2,Baseline evidence retained; full renderer suite passed; no additional live check for this journey
J13,Composer,Multiline and IME input,Type > Shift+Enter > compose > Send,Newlines preserved; composition Enter never sends prematurely,CJK IME; selection; pasted multiline text,Source; native IME pending,P2,Composition guards retained; native IME input remains unverified
J14,Composer,Starter prompts,Starter > edit prepared draft > Send,Starter wording matches scope; focus enters composer,No project; insufficient access,Source + empty-state visuals,P2,Baseline evidence retained; full renderer suite passed; no additional live check for this journey
J15,Composer,Attach images,Attach picker > select > preview > Send,Clear limits; previews readable; send preserves image identity,Wrong format; zero bytes; too many; oversized; decode error,Image-input fixtures + source; native picker pending,P2,"Image-input, conversation-drafts and draft-preview fixtures; keyboard preview/remove and selection retention"
J16,Composer,Paste/drop images,Paste or drag files > inspect thumbnails,Text and images preserved; drag highlight clears,Mixed text/files; unsupported files; drag leaves window,Source + image fixtures; interaction matrix pending,P2,"Image-input, conversation-drafts and draft-preview fixtures; keyboard preview/remove and selection retention"
J17,Composer,Remove or enlarge attachment,Thumbnail > open/close > remove,Correct attachment; focus return; object URLs released,Last image; keyboard; failed image decode,Source + image fixtures,P2,"Image-input, conversation-drafts and draft-preview fixtures; keyboard preview/remove and selection retention"
